excluded,,,,bluemailbox,bluemailbox,bluemailbox,bluemailbox,bluemailbox,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,bluehouse,bluehouse,bluehouse,bluehouse,bluehouse,cuttree,cuttree,cuttree,cuttree,cuttree,breakwindows,breakwindows,breakwindows,breakwindows,breakwindows,razehouse,razehouse,razehouse,razehouse,razehouse,bleachlawn,bleachlawn,bleachlawn,bleachlawn,bleachlawn,blueinsidedoor,blueinsidedoor,blueinsidedoor,blueinsidedoor,blueinsidedoor,erasemural,erasemural,erasemural,erasemural,erasemural,smearpoop,smearpoop,smearpoop,smearpoop,smearpoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R_6zkUHHOpDX2HtN3,The stranger's proposal to Hank is to paint his neighbor's house bright pink while they are away on vacation.,Hank cannot communicate with his neighbor about the stranger's offer as the neighbor is away on vacation and cannot be reached for a week. Hank will have to make the decision on his own without consulting his neighbor.,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,Female,29,44,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,14,14,5,I am paying attention,
,R_5vZFoAIu2EZeCtR,the stranger's proposal remains undisclosed but has something to do with his neighbors property,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,30,49,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,13,7,5,I am paying attention,Good
,R_6QGoWDMxNFBCX33,Hank has to do something particular to Hank's neighbor's property.,No.   The neighbor is away on vacation.,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,Male,36,3,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,7,5,I am paying attention,"nope, it was interesting thanks"
1,R_7Lj9llqoOZcSpvD,"The stranger's proposal to Hank is to perform a task on Hank's neighbor's property while the neighbor is away. The specifics of the task are intentionally left vague, adding to the mysterious nature of the stranger's request. Hank is faced with a dilemma: accept the money and carry out the stranger's request, ","No, Hank cannot communicate with his neighbor about the stranger's offer because the neighbor",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,male,47,23,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,14,7,5,I am paying attention,No issues.   Nothing confusing.   Everything was fine.
,R_6O9CG2C0O207at1,He asks Hank whether he would be willing to do something particular to Hank's neighbor's property,No he can't accept this offer from stranger.,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,male,32,14,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,14,5,5,I am paying attention,very nice survey
,R_18HZhAGmEU6nMWe,He asked Hank if he'd do something to his neighbor's property.,"No, he is away.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,29,29,,English,5,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,13,8,5,I am paying attention,
,R_7BQitgo2iZsMloZ,To do something particular to Hank's neighbor's property,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,58,48,,English,5,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,15,12,3,I am paying attention,"No, everything was clear."
,R_6IAh7ytNcysof85,Ge wants hang to do somethin particular to his neighbors property.,"No, his neighbor is away on vacation.",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,female,36,19,,English,5,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,13,3,3,I am paying attention,
,R_13CldxSsgpiJvlK,He asks Hank whether he would be willing to do something particular to Hank's neighbor's property.,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,33,32,,English,5,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,14,7,2,I am paying attention,Some of the questions were difficult to answer with so little information about the neighbor and his property.
,R_3nY2JncGLT4qYSJ,To do something particular to Hank's neighbor's property.,No,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,38,28,,english,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,13,10,3,I am paying attention,
,R_5z64ZlToOFtmZW1,"To do something ""particular"" to his neighbors yard for a sum of money.","No, his neighbor is away on vacation and unreachable for a week.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,42,4,,English,5,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,13,8,2,I am paying attention,none
,R_5ClrzgBMKoNrDc4,Hank can have a certain amount of money for agreeing to do a certain thing to his neighbors home.,No.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Male,31,18,,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,7,5,I am paying attention,"Well I think the different amounts of money does make it curious, like money just for selfish reasons, just having it for yourself, or for Hank, if there is nothing that would like save a life by having it-then I think the amount of money is not relevant for morality, like it doesn't make it moral by being more money. However, if Hank can do whatever he wants with it, and he can give his neighbor some money for doing that thing, then I think morality comes back into play for how much money it is. Like If my neighbor had the chance to give me $500,000 or something to paint my mialbox without my permission or even break all the windows in my house, like honestly anything on that list, I would let happen to me for money, so I kind of think morally it is okay to do then. I don't know there are a lot of specifics and such that come into play, but mostly I would say doing something to someone's property without their permission is normally just going to be morally bad no matter how much money i involved."
,R_196sHHURARBekZD,"If Hank agrees whether he would be willing to do something particular to his neighbor's property, he will receive a sum of money which he can use however he likes. Otherwise, the stranger will leave and everything remains as before ",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,38,23,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,14,10,5,I am paying attention,Nothing was unclear.
1,R_7S1dwFLlHa82EtO,Whether he would be willing to do something particular to Hank's neighbor's property.,yes,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Male,42,21,,English,5,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,13,4,5,I am paying attention,n/a
,R_3a5UkZKT5uiKyu5,He will pay Hank for doing something particular to Hank's neighbor's property.,No.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,female,59,15,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,4,4,I am paying attention,"no, no"
,R_7CZW3EATp3bE7i8,The stranger wants to pay Hank to do something to Hank's neighbor's property.,No.,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,65,51,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,14,3,5,I am paying attention,
,R_1sjFxu8heG3fTlo,he would be willing to do something particular to Hank's neighbor's property.,"Hank's neighbor is away on vacation, and cannot be communicated with for the next week --- but the mysterious stranger requires an answer today. The man shows the cash to Hank right then and there. ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,male,36,22,,English,5,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,15,9,5,I am paying attention,
,R_6kJG08ibKlZ6jC1,The stranger asks Hank to do something to Hank's neighbor's property.,"No, Hank cannot communicate with his neighbor because they are away on vacation.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,44,42,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,13,4,3,"""I am paying attention""",
,R_7exbV4ivkXfnmO8,To do something particular to his neighbors property.,No.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,27,45,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,14,6,3,I am paying attention,
,R_6nRlNv3mqDwK11f,He will receive a sum of money which hank can use however he likes,can use however he likes and stranger requires an answer today,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,Female,45,10,,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,1,2,I am paying attention,
,R_7DU1KHRVjHMH0S7,To do something particular to his neighbor's property,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,27,42,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,14,5,5,I am paying attention,clear
,R_5958J1gn3SIPONP,e asks Hank whether he would be willing to do something particular to Hank's neighbor's property.,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,50,5,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,13,5,4,I am paying attention,The questions were all the same - if something was MORALLY acceptable. All of the actions were the same... only the amounts of money were different. So I hope my answers were acceptable.
,R_1gnpkyzxfJJQb3u,do something particular to Hank's neighbor's property,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,41,23,,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,12,5,I am paying attention,
,R_4GCdoKkmH0cHZUo,Hank whether he would be willing to do something particular to Hank's neighbor's property.,"Hank's neighbor is away on vacation, and cannot be communicated with for the next week --- but the mysterious stranger requires an answer today",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,33,39,,English,5,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,13,8,5,I am paying attention,
1,R_51uqXmr8GBbUs6N,Property,no,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,male,33,42,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,13,4,3,I am paying attention,
,R_3aOAQmG2MbYIK3f,To do something particular to Hank's neighbor's property.,No.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,38,49,,One,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,11,10,5,I am paying attention,none
,R_7cCx8iUzuSpsZOT,Whether he would do something particular to his neighbor's property for money that he can use as he wishes.,"No, he cannot.",1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Non-Binary,38,34,,English,5,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,15,3,3,I am paying attention.,n/a
,R_7l6mC9Kk1U9zFS9,To do something particular to Hank's neighbor's property.,No.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Genderqueer,35,29,,American English,5,,,,,,,,1,,Multiracial,,,,,,,,,,,1,,,,1,,,,,,13,1,5,I am paying attention,Nothing was unclear or confusing. This was an interesting study.
,R_5akSws3mFqXQ3Wf,whether he would be willing to do something particular to Hank's neighbor's property,cannot be communicated with for the next week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,33,33,,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,13,8,5,I am paying attention,
1,R_5ZRvuXPlwHsIIdH,"The stranger proposes that Hank plant a small, rare flower in his neighbor's garden while they are away. The flower is said to bring good luck and prosperity to whoever owns the property it is planted in. The stranger explains that he has been searching for the perfect garden to plant this flower in and believes Hank's neighbor's garden is the ideal location. If Hank agrees to plant the flower, he will receive a substantial sum of money for his troubles.","Unfortunately, Hank cannot communicate with his neighbor about the stranger's offer as they are away on vacation and cannot be reached for the next week. Hank must make the decision on his own without consulting his neighbor.",1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,Female,23,15,,Tamil,6,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,13,5,3,I am paying attention,None
,R_3PFsFeV53dEUeje,To do some unknown thing to his neighbor's property.,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,41,14,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,12,5,5,I am paying attention,
1,R_3iZEhWQ1h3LWf7j,"The stranger's proposal could be anything from painting the neighbor's house a different color, planting a new garden, installing new features in the backyard, or even something more sinister like vandalizing the property. Without more information, it is difficult to determine the nature of the request.","No, Hank cannot communicate with his neighbor as they are away on vacation and cannot be reached for the next week. This adds to the mystery and dilemma Hank faces in deciding whether to accept the stranger's offer or not.",0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,Male,56,11,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,9,3,I am paying attention,None at this time
,R_1tEknzpQ6Qyyqm0,do something particular to Hank's neighbor's proprty.,"No, Hank's neighbor is away on vacation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,44,45,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,11,5,5,I am paying attention,
,R_1OqPMOXoB0uQJer,To do something to Hank's neighbor's property for money.,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,31,21,,English,5,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,14,12,6,I am paying attention,I did not find anything in this study confusing or unclear.
,R_5RogzklD47As1uV,if he can do something to his neighbors property,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,23,18,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,6,3,I am paying attention,
,R_7XhzfFtNQuQCILQ,He asked Hank to do something particular to the neighbor's property in exchange for cash.,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,42,18,,english,5,,,1,,,,,,,,,,,,,,,,,,,,1,Christian,,,,1,,,11,10,4,I am paying attention,
,R_5cn7TUfppWSDV3X,Request to hank whether he would be willing to do something particular to hanks neighbors property,Hank can either take the money and carry out the stranger's request or he can turn the stranger away,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,female,51,18,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,12,3,5,I am paying attention,I thought the scenario and all of the questions were clear.
,R_72xVeCAlk3iH4CI,The stranger's proposal was totally illegal act: He ask to Hank he would to do something in Hank's neighbour property without his content during he way for a vacation. He said we will receive sum of money.,"no, is not fair so Hank no communicate with his neighbor about this offer.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,36,28,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,14,5,5,I am paying attention,very clear
,R_1d4i6BzFCKIQRPl,whether he would be willing to do something particular to Hank's neighbor's property,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,38,3,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,15,6,5,I am paying attention,"no, all are very clear"
,R_7zGTIvQdTHsU2Zd,He asks Hank whether he would be willing to do something particular to Hank's neighbor's property.,no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,male,31,10,,English,5,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,13,11,5,I am paying attention,
,R_7iUatMq3qoX0H5W,He wants Hank to do something particular to his neighbor's property. In exchange Hank will receive a sum of money Hank can use however he likes.,"No, he cannot be communicated with for the next week.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Male,27,33,,English,5,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,11,6,5,I am paying attention,N/A
,R_6vcBemRTO2aJc8f,Do something to his neighbor's property for money.,No,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Male,52,31,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,12,1,2,I am paying attention,I made at least one mistake where I intended to answer no but I think I answered yes. I think it was maybe a question about the neighbor's daughter's mural. I intended to say it was not acceptable to paint over it. I intended to say all of these morally wrong actions were not acceptable or whatever the words used were. Please forgive me for my mistake or mistakes. I am also assuming I understood all of the situations. It is possible I misunderstood one or more situations. All morally wrong actions no matter how much money is involved are morally wrong and not acceptable to do.
,R_5NDNrg7FDHyJbhj,To do something to his neighbor's property.,No.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,39,38,,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,9,5,I am paying attention,
,R_3triPKyZzjMNf7X,Hank can either take the money and carry out the stranger's request or he can turn the stranger away.,"Hank's neighbor is away on vacation, and cannot be communicated with for the next week --- but the mysterious stranger requires an answer today. ",1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,female,34,30,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,15,9,5,I am paying attention,"No. If there's an issue with my answers however, since I said ""No"" to everything, I don't believe the amount of money being offered changes the morality of a situation. You can definitely say some of those actions are worse than others and well worth the money, and that anyone would likely do it, but it's still someone else's property so it's still technically wrong no matter how much you offer or even if it's innocent like painting his door. Thank you."
1,R_7VgVkZqZDUyIUeZ,The stranger's proposal is to have Hank cut down the old oak tree in the backyard of the neighbor's property.,"Hank's neighbor is away on vacation and cannot be communicated with for the next week, Hank cannot ask for their permission or inform them of the stranger's offer.",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,female,44,5,,50000,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,15,6,5,"""I am paying attention"" ",No confusing .good survey.
,R_615SY5LRQlDRhJY,If he would be willing to do something to the neighbor's property for money.,No because the neighbor is away for the week and out of touch.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,male,31,26,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,11,8,5,I am paying attention,
,R_5NOrAsXun1PvJPU,If he would be willing to do something to his neighbor's property,"No, his neighbor is away on vacation",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,20,34,,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,15,2,4,I am paying attention,It was an interesting study!
,R_3fjq7GzMVxzuoiA,"The proposal is for Hank to receive a sum of money in exchange for performing an action on his neighbor's property, or to do nothing and earn nothing.","No, his neighbor is away on vacation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,47,44,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,12,9,5,I am paying attention,no issues
,R_7D2GfXQWMtybzgf,Do something to his neighbor's property.,no,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,Male,33,10,,"Armenian, English",5,,,,,,,1,,,,,,,,,,,,,,,,1,Christian (not Trinity),,,,1,,,13,4,2,I am paying attention,Everything was clear. Thank you for the opportunity!
,R_1GxAGZ8MmJgQaMD,To do something to his neighbor's property,No,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,male,39,50,,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,13,3,2,I am paying attention,
,R_5Ehkop1y3phcyaZ,Hank's stranger's proposal for senseless thing; He ask Hank to do something on Hank's neighbor's land without his permission.  the stranger want to receive a sum of money.,"no, it Hank should avoid the stranger.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,25,25,,English,5,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,7,5,I am paying attention,
,R_1wLfKwE6V1XhMUY,Do something to Hank's property for a sum of money.,"No, his neighbor is away on vacation",1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,female,26,48,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,15,6,5,I am paying attention,"no, all are clear."
,R_5o7t3BrFIWbf7IB,"He asks Hank whether he would be willing to do something particular to Hank's neighbor's property. If Hank agrees, he will receive a sum of money which Hank can use however he likes.",No.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,35,45,,English,5,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,14,5,2,I am paying attention,all was clear
,R_3QQXGT9OyAscW8w,The stranger asked hank whether he was willing to do something particular to Hank's neighbour's property.,No.,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,Male,28,33,,"Chinese, English",5,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,13,7,5,I am paying attention,No.
,R_7zeUcQ8HQLjJiOx,Willing to do something particular's to Hank's neighbor's property,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Male,43,49,,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,14,2,4,I am paying attention,None.
1,R_7HAeQLccGrgcA3k,A mysterious but very wealthy stranger arrives at Hank's doorstep with a strange request.,The man shows the cash to Hank right then and there. Hank can either take the money and carry out the stranger's request or he can turn the stranger away.,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,male,54,10,,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,11,4,5,"""I am paying attention""",Good
